id,from,to,voltage,reactance,resistance,circuits,pmax
509,100,99,220,1.883601247,0.34728898,1,490
510,321,320,220,11.48959632,2.118394321,1,490
511,97,149,220,6.169650244,1.137529264,1,490
512,97,142,220,2.204255514,0.40640961,2,490
513,309,305,220,16.44946131,3.03286943,2,490
514,35,145,220,9.027017616,1.664356373,1,490
515,96,149,220,6.478209798,1.194419931,1,490
516,383,381,220,7.971108051,1.469673047,1,490
517,109,108,220,3.664578935,0.675656741,2,490
518,383,381,220,8.584644533,1.582793836,1,490
519,201,243,220,15.06373227,2.777375637,1,490
520,300,302,220,13.00551239,2.397891347,1,490
521,265,78,220,6.998256587,1.290303558,1,490
522,87,95,220,1.744681165,0.32167559,1,490
523,410,427,220,5.932703161,1.093842145,2,490
524,269,272,220,3.074508563,0.566862516,1,490
525,239,140,220,19.0200475,3.506821258,1,490
526,156,123,220,7.025386465,1.295305629,1,490
527,158,124,220,1.166215152,0.215020919,2,490
528,118,116,220,9.914486353,1.827983421,1,490
529,430,431,220,5.975033357,1.101646775,2,490
530,70,188,220,13.04452433,2.405084174,1,490
531,433,434,220,4.379806168,0.807526762,1,490
532,111,112,220,1.615169683,0.29779691,2,490
533,25,240,220,1.534123397,0.282854001,2,490
534,298,299,220,19.19533947,3.539140715,1,490
535,161,8,220,2.95330528,0.544515661,1,490
536,72,193,220,4.145105602,0.764253845,2,490
537,407,405,220,10.65625698,1.964747381,2,490
538,268,285,220,23.31700388,4.29907259,1,490
539,152,121,220,0.653536317,0.120495758,2,490
540,162,7,220,7.316219419,1.348927955,1,490
541,136,362,220,27.56859555,5.082959805,1,490
542,192,128,220,9.457856111,1.743792221,2,490
543,235,140,220,7.432136526,1.370300172,1,490
544,391,206,220,6.756173511,1.245669491,3,490
545,400,413,220,17.12122358,3.156725598,1,490
546,76,243,220,10.17698008,1.876380702,1,490
547,283,79,220,1.066159992,0.196573249,2,490
549,400,401,220,12.48977627,2.3028025,1,490
550,57,405,220,17.8391299,3.289089576,2,490
551,428,427,220,1.043945124,0.192477382,2,490
552,348,347,220,9.712319086,1.790708831,2,490
553,148,151,220,2.833553814,0.522436484,1,490
554,359,136,220,9.501443643,1.751828672,1,490
555,397,386,220,14.28836422,2.634417153,2,490
556,255,256,380,1.8229689,0.210342565,1,1700
557,368,372,220,17.66663339,3.257285532,2,490
558,240,241,220,0.134617425,0.024820088,2,490
559,333,335,220,21.18607719,3.906182983,2,490
560,7,159,220,6.808206766,1.255263122,1,490
561,381,377,220,9.857906405,1.817551493,2,490
562,223,382,220,15.58582124,2.873635792,1,490
563,53,304,220,10.08677173,1.859748538,2,490
